baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gxe_084_001_UMI_1	29.1640520896338	-0.0359060521502742	0.0135869215883121	-2.64269223288678	0.00822497606333153	0.0303638699671322
gxe_084_001_UMI_2	46.2910522693793	0.0147734477695167	0.011119333358467	1.32862711218809	0.183971022675958	0.329496128303086
gxe_084_001_UMI_4	37.2880062641877	0.00938363954790543	0.0100408203192983	0.934549095542543	0.35002072321724	0.513675603286712
gxe_084_001_UMI_13	27.7176100933763	-0.00530383382352085	0.0129139657343005	-0.410705273085359	0.681288659911651	0.797859199077938
gxe_084_001_UMI_14	30.6350458389441	-0.00749222801359825	0.0114650401941349	-0.653484670505649	0.513443868913773	0.663765957346318
gxe_084_002_UMI_1	67.9921205137773	0.0166772554299351	0.00783763833944241	2.12784192222903	0.0333501922255522	0.0921199568956501
gxe_084_002_UMI_2	132.864726249722	0.010758517684506	0.00676661415649962	1.58994105998669	0.111848091236347	0.229648781862451
gxe_084_002_UMI_4	189.612057209454	0.000168506412809837	0.0045598206726549	0.0369546139874239	0.970521193791655	0.983535992477825
gxe_084_002_UMI_6	142.894520763448	0.0105482073211246	0.00652938522215612	1.61549777846334	0.106202941038762	0.220739230468367
gxe_084_002_UMI_13	75.6586983331665	-0.00281015753788401	0.00699331215092796	-0.401834992809684	0.687805467312612	0.802637554597613
gxe_084_002_UMI_14	121.470549757529	0.0193629083023094	0.00910742611388774	2.12605713844697	0.0334985022020297	0.0924302529616571
gxe_084_003_UMI_1	137.52646179421	-0.020981503710878	0.00625232040633885	-3.35579470457178	0.000791372902361641	0.00428074428490105
gxe_084_003_UMI_2	264.130597859257	-0.00341044448457485	0.00397280891730211	-0.858446644569766	0.390645880552337	0.552712293772674
gxe_084_003_UMI_4	318.951861916589	-0.00272850794964549	0.00365447648715586	-0.746620742871159	0.455292523783617	0.611544979954525
gxe_084_003_UMI_6	170.155324146583	-0.00320448946192484	0.00592254200684195	-0.541066565373936	0.588461702464786	0.726177782401555
gxe_084_003_UMI_13	136.712893351755	0.00890183204376889	0.00510732242576022	1.74295478172085	0.0813415137298154	0.180982754916339
